lang	config	crfCValue	crfTemplate	featConfidence	featGroups	featStd	featTypes	halfWindowSize	learnMethod	minConfidence	minFreq	nMostFreq	normalizeContexts	onlyMean	refCorpus	simMeasure	windowIncludeWordsINexpr	windowMultipleOccurrencesPosition	level	evalType	perf
CS	00	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	MWE	P	0.57558
CS	00	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	MWE	R	0.5029
CS	00	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	MWE	F	0.53676
CS	00	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	Token	P	0.83712
CS	00	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	Token	R	0.60266
CS	00	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	Token	F	0.70078
CS	01	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	MWE	P	0.79832
CS	01	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	MWE	R	0.60462
CS	01	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	MWE	F	0.68806
CS	01	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	Token	P	0.86762
CS	01	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	Token	R	0.62378
CS	01	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	Token	F	0.72572
CS	02	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu:lemma	cosineIDF	1	1	MWE	P	0.7713
CS	02	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu:lemma	cosineIDF	1	1	MWE	R	0.57212
CS	02	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu:lemma	cosineIDF	1	1	MWE	F	0.65694
CS	02	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu:lemma	cosineIDF	1	1	Token	P	0.8653
CS	02	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu:lemma	cosineIDF	1	1	Token	R	0.60322
CS	02	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu:lemma	cosineIDF	1	1	Token	F	0.71084
CS	03	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	europarl-v7.generic.tok	cosineIDF	1	1	MWE	P	0.80888
CS	03	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	europarl-v7.generic.tok	cosineIDF	1	1	MWE	R	0.60446
CS	03	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	europarl-v7.generic.tok	cosineIDF	1	1	MWE	F	0.69184
CS	03	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	europarl-v7.generic.tok	cosineIDF	1	1	Token	P	0.87552
CS	03	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	europarl-v7.generic.tok	cosineIDF	1	1	Token	R	0.62118
CS	03	1.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	europarl-v7.generic.tok	cosineIDF	1	1	Token	F	0.72672
CS	04	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	MWE	P	0.58048
CS	04	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	MWE	R	0.52512
CS	04	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	MWE	F	0.55138
CS	04	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	Token	P	0.83596
CS	04	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	Token	R	0.62054
CS	04	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	Token	F	0.71232
CS	05	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	MWE	P	0.80144
CS	05	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	MWE	R	0.6203
CS	05	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	MWE	F	0.69934
CS	05	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	Token	P	0.86366
CS	05	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	Token	R	0.63624
CS	05	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	Token	F	0.73266
CS	06	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu:lemma	cosineIDF	1	1	MWE	P	0.77906
CS	06	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu:lemma	cosineIDF	1	1	MWE	R	0.59288
CS	06	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu:lemma	cosineIDF	1	1	MWE	F	0.67328
CS	06	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu:lemma	cosineIDF	1	1	Token	P	0.86508
CS	06	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu:lemma	cosineIDF	1	1	Token	R	0.6195
CS	06	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu:lemma	cosineIDF	1	1	Token	F	0.72194
CS	07	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	europarl-v7.generic.tok	cosineIDF	1	1	MWE	P	0.80736
CS	07	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	europarl-v7.generic.tok	cosineIDF	1	1	MWE	R	0.6207
CS	07	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	europarl-v7.generic.tok	cosineIDF	1	1	MWE	F	0.7018
CS	07	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	europarl-v7.generic.tok	cosineIDF	1	1	Token	P	0.87224
CS	07	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	europarl-v7.generic.tok	cosineIDF	1	1	Token	R	0.63748
CS	07	1.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	europarl-v7.generic.tok	cosineIDF	1	1	Token	F	0.73658
CS	08	1.0	dep14_template_ic3	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	MWE	P	0.59134
